acceptedNameUsageID,Scientific name,Item,Description,Code
105839,Isurus oxyrinchus,food,marine mammals,4
105840,Isurus paucus,Temperature,temperate,2
105840,Isurus paucus,Temperature,tropical,3
105840,Isurus paucus,Temperature,subtropical,2.6
105840,Isurus paucus,Habitat,oceanic,3
105840,Isurus paucus,Salinity,marine,2
105840,Isurus paucus,Behavior,bathypelagic,2.5
105840,Isurus paucus,Behavior,mesopelagic,3
105840,Isurus paucus,Behavior,epipelagic,3.2
105840,Isurus paucus,food,cephalopods,2
105840,Isurus paucus,food,fish,3
105841,Lamna nasus,Temperature,temperate,2
105841,Lamna nasus,Temperature,cold-temperate,1.6
105841,Lamna nasus,Temperature,boreal,1.3
105841,Lamna nasus,Habitat,oceanic,3
105841,Lamna nasus,Habitat,offshore,2.5
105841,Lamna nasus,Habitat,open water,3
